title;authors;venue;year;doi
Leveraging High-Level Petri Nets for Cyber-Physical Systems Development;Marta Ferreira, Matilde Pato, António Serrador, Rogério Campos-Rebelo, Nuno Datia, Jose Simão;Information Visualisation (IV);2024;https://doi.org/10.1109/IV64223.2024.00018
Leveraging High-Level Petri Nets for Cyber-Physical Systems Development;Nuno Fernandes, João Paulo Barros and Rogerio Campos-Rebelo;PNSE;2024;https://doi.org/10.1109/IV64223.2024.00018
Event-Based Modeling of Input Signal Behaviors for Discrete-Event Controllers;Luis Gomes, Diogo Natário, Anikó Costa, João-Paulo Barros and Rogério Campos-Rebelo;MDPI applied sciences;2024;https://doi.org/10.3390/app14125289
Remote Debugger: A Tool to Remotely Monitor and Operate IOPT-Nets Controllers;Fernando Pereira, João-Paulo Barros, Filipe Moutinho, Anikó Costa, Rogério Campos-Rebelo and Luis Gomes;PETRI NETS;2024;https://doi.org/10.1007/978-3-031-61433-0_19
A Low-Cost Solution for Assets Location Tracking Based on LoRaWAN Networks;Ricardo F. Severino, António Serrador, Nuno Datia, Rogério Campos-Rebelo, José Machado;IEEE WF-IoT;2024;https://doi.org/10.1109/WF-IoT58464.2023.10539413
A Low-Cost Solution for Assets Location Tracking Based on LoRaWAN Networks;Ricardo F. Severino, António Serrador, Nuno Datia, Rogério Campos-Rebelo, José Machado;IEEE WF-IoT;2023;https://doi.org/10.1109/WF-IoT58464.2023.10539413
ntegrated Development of Embedded Systems With Remote Graphical User Interfaces;Carolina Lagartinho-Oliveira, Fernando Pereira, Filipe Moutinho, Rogerio Campos-Rebelo and Luis Gomes;IEEE access;2023;https://doi.org/10.1109/ACCESS.2023.3287198
Graphic Model for Shop Floor Simulation and Control in the Context of Industry 5.0;Nuno Fernandes, João Paulo Barros and Rogerio Campos-Rebelo;MDPI applied sciences;2023;https://doi.org/10.3390/app13020930
Reconfigurable Sensor Node Applied to LoRa Networks;Filipa Gouveia, Rogério Campos-Rebelo and Filipe Moutinho ;APCA CONTROLO;2022;https://doi.org/10.1007/978-3-031-10047-5_14
Input Event Modeling for Discrete-Event Controllers: A Petri Net Approach;Luis Gomes, Rogério Campos-Rebelo, Anikó Costa and João-Paulo Barros ;APCA CONTROLO;2022;https://doi.org/10.1007/978-3-031-10047-5_44
A Graphical and Executable Model for Production Simulation in the Context of Industry 5.0;Nuno Fernandes, João Paulo Barros and Rogerio Campos-Rebelo;IEEE ISIE;2022;https://doi.org/10.1109/ISIE51582.2022.9831527
IOPT-Tools – From Executable Models to Automatic Code Generation for Embedded Controllers Development;Fernando Pereira, Filipe Moutinho, Anikó Costa, João-Paulo Barros, Rogério Campos-Rebelo and Luis Gomes;PETRI NETS;2022;https://doi.org/10.1007/978-3-031-06653-5_7
Management platform for data translators supported by semantic annotations;Gonçalo Adelino, Rogerio Campos-Rebelo, Filipe Moutinho and Pedro Maló;IEEE ICPS;2022;https://doi.org/10.1109/ICPS51978.2022.9816969
JSON Schemas with Semantic Annotations Supporting Data Translation;Gonçalo Amaro, Filipe Moutinho, Rogério Campos-Rebelo, Julius Köpke and Pedro Maló;MDPI applied sciences;2021;https://doi.org/10.3390/app112411978
NOVA Mobility Assistive System: Developed and Remotely Controlled with IOPT-Tools;Filipe Moutinho, Rogerio Campos-Rebelo, Carolina Lagartinho-Oliveira, Edna Moreira, Bruno Almeida and Luis Gomes;MDPI electronics;2020;https://doi.org/10.3390/electronics9081328
Towards remote monitoring and reconfiguration of FPGA-based controllers using IOPT-Tools,;Gabriel Alves, Filipe Moutinho, Rogerio Campos-Rebelo and Luis Gomes;REC;2020;https://doi.org/10.1109/IV64223.2024.00018
